full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,spread,rank_funnel
Hunter Henry,TE,NE,BAL,9.914285714285715,2.042441326473284,17.786130102098145,Low Confidence,20.600993206502864,Volatile,7.8718443878124305,1.9,29.0,22.75,9.914285714285715,3.0,14.0
Mark Andrews,TE,BAL,NE,9.814285714285715,2.469181940304747,17.159389488266683,Low Confidence,25.159059071518513,Volatile,7.345103773980968,1.4,27.1,25.75,8.314285714285715,-3.0,7.0
Cade Otton,TE,TB,CAR,9.590909090909092,5.024191550825286,14.157626630992898,Medium Confidence,52.38493560102193,Volatile,4.566717540083806,2.9,17.2,24.25,8.090909090909092,-3.0,17.0
Oronde Gadsden,TE,LAC,DAL,9.433333333333334,1.4001823232056676,17.466484343460998,Low Confidence,14.842922154123684,Boom/Bust,8.033151010127666,1.7,29.4,24.0,9.433333333333334,1.5,8.0
Colston Loveland,TE,CHI,GB,9.383333333333333,1.9557638870886276,16.810902779578036,Low Confidence,20.84295439170829,Volatile,7.427569446244705,3.1,29.8,22.5,9.383333333333333,1.5,16.0
Theo Johnson,TE,NYG,MIN,9.128571428571428,3.602071830978228,14.655071026164627,Low Confidence,39.459315832312356,Volatile,5.5264995975932,1.5,21.3,20.25,9.128571428571428,3.0,27.0
Nate Adkins,TE,DEN,JAX,9.100000000000001,4.100000000000001,14.100000000000001,Medium Confidence,45.05494505494506,Volatile,5.0,2.5,10.3,24.25,5.6000000000000005,-3.0,1.0
Devin Culp,TE,TB,CAR,9.1,4.1,14.1,Medium Confidence,45.05494505494505,Volatile,5.0,7.6,7.6,24.25,7.6,-3.0,17.0
Greg Dulcich,TE,MIA,CIN,8.833333333333332,6.309315372488626,11.357351294178038,Medium Confidence,71.4262117640222,Safe,2.5240179608447058,3.2,9.9,24.0,5.833333333333333,2.5,30.0
Brenton Strange,TE,JAX,DEN,8.61111111111111,4.254666332267803,12.967555889954419,Medium Confidence,49.40902837472287,Volatile,4.356444778843308,3.2,14.3,21.25,8.61111111111111,3.0,3.0
Dawson Knox,TE,BUF,CLE,8.441666666666666,2.9879842854538117,13.89534904787952,Low Confidence,35.39566774476381,Volatile,5.453682381212855,2.5,18.7,26.25,6.941666666666666,-10.0,20.0
Noah Fant,TE,CIN,MIA,8.345454545454544,4.071027417437589,12.619881673471498,Medium Confidence,48.78137428302123,Volatile,4.274427128016955,1.3,14.4,26.5,6.845454545454545,-2.5,26.0
AJ Barner,TE,SEA,LAR,8.257142857142858,1.5612526956374397,14.953033018648277,Low Confidence,18.90790461844651,Volatile,6.695890161505418,0.3,24.3,21.5,8.257142857142858,1.5,5.0
Ja'Tavion Sanders,TE,CAR,TB,8.011111111111111,4.471886462814381,11.55033575940784,Medium Confidence,55.82105154692015,Safe,3.53922464829673,1.5,12.4,21.25,5.011111111111111,3.0,4.0
T.J. Hockenson,TE,MIN,NYG,7.971428571428571,4.192249057010421,11.750608085846721,Medium Confidence,52.59093799117016,Safe,3.77917951441815,2.2,15.9,23.25,7.971428571428571,-3.0,28.0
David Njoku,TE,CLE,BUF,7.845454545454545,2.8003849450697027,12.890524145839386,Low Confidence,35.69436198814222,Volatile,5.045069600384842,1.7,18.7,16.25,7.845454545454545,10.0,32.0
Pat Freiermuth,TE,PIT,DET,7.516666666666667,0.2780287569574931,14.75530457637584,Low Confidence,3.6988304695010186,Volatile,7.2386379097091735,1.6,28.1,22.25,7.516666666666667,7.0,10.0
Drew Ogletree,TE,IND,SF,7.300000000000001,2.3000000000000007,12.3,Low Confidence,31.506849315068493,Volatile,5.0,1.8,8.8,20.25,5.300000000000001,6.0,9.0
Terrance Ferguson,TE,LAR,SEA,7.279999999999999,3.8453238871765505,10.714676112823447,Medium Confidence,52.82038306561196,Safe,3.434676112823449,1.6,10.1,23.0,5.279999999999999,-1.5,6.0
Isaiah Likely,TE,BAL,NE,7.144444444444444,2.726551532910963,11.562337355977924,Low Confidence,38.16324074058891,Volatile,4.417892911533481,2.0,12.5,25.75,5.644444444444444,-3.0,7.0
Chig Okonkwo,TE,TEN,KC,6.992307692307692,4.015603267819222,9.969012116796161,Medium Confidence,57.42886961677656,Safe,2.97670442448847,1.4,11.6,17.0,6.992307692307692,3.5,12.0
Mike Gesicki,TE,CIN,MIA,6.855555555555556,0.8457487551851992,12.865362355925914,Low Confidence,12.336691728795444,Volatile,6.009806800370357,1.6,20.6,26.5,5.355555555555556,-2.5,26.0
Mason Taylor,TE,NYJ,NO,6.838461538461538,1.6399780317808865,12.03694504514219,Low Confidence,23.98168100466988,Volatile,5.198483506680652,1.2,17.7,18.0,6.838461538461538,4.5,31.0
Tanner Hudson,TE,CIN,MIA,6.6625,3.3540961984235182,9.970903801576481,Medium Confidence,50.34290729341116,Safe,3.3084038015764814,1.9,11.0,26.5,5.1625,-2.5,26.0
Cade Stover,TE,HOU,LV,6.6000000000000005,1.6000000000000005,11.600000000000001,Low Confidence,24.24242424242425,Volatile,5.0,3.9,6.2,26.5,5.1000000000000005,-14.5,21.0
Gunnar Helm,TE,TEN,KC,6.264285714285714,2.291376076625805,10.237195351945623,Low Confidence,36.578409433023104,Safe,3.9729096376599093,1.8,14.9,17.0,6.264285714285714,3.5,12.0
Jonnu Smith,TE,PIT,DET,6.108333333333333,2.347419920747277,9.86924674591939,Low Confidence,38.42979406407547,Safe,3.7609134125860564,1.4,12.5,22.25,6.108333333333333,7.0,10.0
Mitchell Evans,TE,CAR,TB,5.9750000000000005,2.8427940224636754,9.107205977536326,Medium Confidence,47.57814263537532,Safe,3.132205977536325,1.9,11.3,21.25,4.9750000000000005,3.0,4.0
Darnell Washington,TE,PIT,DET,5.9363636363636365,2.850177405018312,9.02254986770896,Medium Confidence,48.01217680735288,Safe,3.0861862313453243,2.0,10.7,22.25,5.9363636363636365,7.0,10.0
Michael Mayer,TE,LV,HOU,5.775,1.2222143535130998,10.327785646486902,Low Confidence,21.163884909317744,Volatile,4.5527856464869005,2.0,16.0,12.0,5.775,14.5,13.0
Adam Trautman,TE,DEN,JAX,5.688888888888889,2.6539076515315454,8.723870126246233,Medium Confidence,46.65072043707794,Safe,3.0349812373573437,1.2,10.0,24.25,4.188888888888889,-3.0,1.0
Daniel Bellinger,TE,NYG,MIN,5.5875,0.0,11.199079227683722,Low Confidence,0.0,Volatile,5.6115792276837215,1.6,17.8,20.25,5.5875,3.0,27.0
Josh Oliver,TE,MIN,NYG,5.55,0.0,11.38315645990353,Low Confidence,0.0,Volatile,5.83315645990353,0.7,16.4,23.25,5.55,-3.0,28.0
